Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-nmdp.fhir.matchsync.json	34849	-	0	0	0	0	0	0	8	320	0	0	0	0	0	0	0	5	0	0	76	154	0	0	0	4	0	1
fsh-generated/resources/Bundle-BundleExample-Practitioner.json	8946	6	25	0	1	0	0	0	0	50233	0	0	0	0	0	0	0	0	0	0	16	62100	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cdc-race-ethnicity-cs.json	92982	13	0	0	0	0	0	0	6	88	0	0	1	0	0	0	0	1	0	0	119	948	0	0	0	12	0	1
fsh-generated/resources/CodeSystem-glstring-codesystem.json	474	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-hla-genename-codesystem.json	6925	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	18	44	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ietf-language-cs.json	8379	2	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	24	38	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-nmdp-GenderIdentity-cs.json	743	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	26	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-abo-group-cs.json	753	2	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	11	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-abo-rh-group-cs.json	1020	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	27	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-cmv-cs.json	751	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-disease-cs.json	8206	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	18	39	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-nmdp-diseasestage-cs.json	1023	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	27	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-ethnicity-cs.json	688	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	30	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-form117-cs.json	574	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	26	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-language-cs.json	1331	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	22	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-practitioner-role-cs.json	787	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	24	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-preferred-product-cs.json	845	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	12	24	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-race-cs.json	4075	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	24	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-nmdp-rh-status-cs.json	599	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nmdp-transplant-timeline-cs.json	1082	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	14	15	0	0	0	0	0	0
fsh-generated/resources/Condition-MSDiagnosisExample-AML.json	1023	2	0	0	0	0	0	0	0	4766	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/Condition-MSDiagnosisExample-OND.json	617	1	0	0	0	0	0	0	0	7307	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/Condition-a9e56f2a-0827-4efd-a773-ed48c6e2752c.json	1057	2	0	0	0	0	0	0	0	7693	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/Observation-Example-MS-ABOGroup.json	791	1	0	0	0	0	0	0	0	3455	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
fsh-generated/resources/Observation-Example-MS-ABORH.json	795	2	0	0	0	0	0	0	0	7432	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Observation-Example-MS-CMV.json	830	1	0	0	1	0	0	0	0	10406	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Observation-Example-MS-Form117Compliance.json	702	2	0	0	0	0	0	0	0	6580	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/Observation-Example-MS-PatientHeight.json	904	1	0	0	0	0	0	0	0	12706	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/Observation-Example-MS-PatientWeight.json	901	2	0	0	0	0	0	0	0	8328	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/Observation-Example-MS-PreferredProduct.json	733	2	0	0	0	0	0	0	0	4569	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Observation-Example-MS-RhStatus.json	786	1	0	0	0	0	0	0	0	6658	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/Observation-Example-MS-TransplantTimeline.json	758	2	0	0	0	0	0	0	0	4354	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/Observation-HLA-A-Example.json	1384	2	0	0	0	0	0	0	0	14389	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/Observation-HLA-B-Example.json	1390	2	0	0	0	0	0	0	0	6364	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/Observation-HLA-C-Example.json	1387	1	0	0	0	0	0	0	0	7516	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/Observation-HLA-DPA1-Example.json	1402	2	0	0	0	0	0	0	0	6421	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/Observation-HLA-DPB1-Example.json	1405	1	0	0	0	0	0	0	0	5846	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
fsh-generated/resources/Observation-HLA-DQA1-Example.json	1405	2	0	0	0	0	0	0	0	8546	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
